,2W,2R_B,2L_B,2L_F,1test,x,y
1a,0.0,0.0,0.0,0.12062203955083577,0.0013179682757432673,-0.0009532433178861746,9.454698705333909
1b,0.10737564107555166,0.0038046869643340044,0.0,0.042507586964310985,0.00012333640920798695,5.1322748903376265,9.269297281728365
1c,0.0,0.004379792337369592,0.0,0.08959465979609668,0.000881474656579288,10.066725573223211,9.212747609373352
1d,0.0,0.001501077603843647,0.0,0.06867213183632011,0.0022121442228161346,2.4752532434305747,7.6232785405087675
1e,0.0,0.002067804116103539,0.0,0.06731621938371313,0.0021331515743394517,7.682209405691259,7.559709118547069
1f,0.0,0.004718606655800499,0.0,0.03883303678989109,0.0034631316351636005,2.6376035250595904,4.491494967197689
1g,0.0,0.008646912128346009,0.0,0.02786106585257679,0.00464455108438421,7.603031738361166,4.415997296812879
1h,0.0,0.00016834813045182344,0.017308432270800526,0.037048030750416426,0.02828724222084132,2.5449680917111874,1.4181910805073497
1i,0.0,0.01447116991951342,0.0,0.03325345960353913,0.027267361877797294,7.515119712358131,1.416422821199028
2a,0.0,0.012730955717857683,0.11017545379078403,0.0,0.027361408325941333,-0.08555678213424561,-0.007001478696977246
2b,0.0,0.0,0.12103989784353535,0.0,0.0475910055942953,5.018680348128991,-0.23841467378932713
2c,0.0,0.05200766934653889,0.0443481362717328,0.0,0.03579790651639834,9.943524186739142,-0.14184626263536765
2d,0.0,0.019328391744645505,0.0,0.03610934726967489,0.00792475285924296,-0.07142230321699118,2.9253901841961625
2e,0.0,0.010886414645723796,0.0,0.03942608096563234,0.009462101855280012,5.208062049840256,3.165729242278382
2f,0.0,0.018093494399419673,0.0,0.03321092030090685,0.011618847861887925,10.094068349258398,2.9530744522030035
2g,0.0,0.0035267025957951403,0.0,0.04191749237925055,0.0029711378851604744,0.09949818603436367,5.962246379172906
2h,0.0,0.003703679567111057,0.0,0.05186839697931238,0.0032438338210715456,5.180516683754678,5.989241950077951
2i,0.0,0.004596691189050626,0.0,0.04301091983041957,0.002689523630135377,10.206748899690673,6.119578435270456
